区间编号,时间,电价,小区负载,光伏发电预测功率,时间分钟,区间起点,区间终点,负载电量_kWh,光伏电量_kWh,净负荷_kW
29,04:50:00,0.4422,3586.916,0.2345,290,04:40,04:50,597.8193333333334,0.03908333333333333,3586.6815
30,05:00:00,0.4395,3571.2635,0.2885,300,04:50,05:00,595.2105833333333,0.048083333333333325,3570.975
31,05:10:00,0.4333,3562.3171,18.6781,310,05:00,05:10,593.7195166666667,3.1130166666666668,3543.639
32,05:20:00,0.4439,3591.3809,54.4698,320,05:10,05:20,598.5634833333334,9.078299999999999,3536.9111000000003
33,05:30:00,0.4301,3579.7045,108.9718,330,05:20,05:30,596.6174166666666,18.161966666666665,3470.7327
34,05:40:00,0.3713,3486.119,184.1603,340,05:30,05:40,581.0198333333333,30.693383333333333,3301.9587
35,05:50:00,0.5708,3823.8994,277.0582,350,05:40,05:50,637.3165666666666,46.17636666666667,3546.8412
36,06:00:00,0.9099,4398.0727,388.5494,360,05:50,06:00,733.0121166666665,64.75823333333332,4009.5233
37,06:10:00,0.9368,4454.0123,521.2803,370,06:00,06:10,742.3353833333333,86.88005,3932.7320000000004
38,06:20:00,0.8758,4371.7919,672.7677,380,06:10,06:20,728.6319833333333,112.12795,3699.0242000000003
39,06:30:00,0.8759,4392.953,844.2261,390,06:20,06:30,732.1588333333334,140.70434999999998,3548.7269000000006
40,06:40:00,0.8601,4384.5956,1039.6744,400,06:30,06:40,730.7659333333332,173.27906666666667,3344.9211999999998
41,06:50:00,0.8442,4434.7757,1259.3375,410,06:40,06:50,739.1292833333333,209.88958333333335,3175.4382
42,07:00:00,0.8334,4523.4561,1508.6318,420,06:50,07:00,753.90935,251.43863333333334,3014.8243
43,07:10:00,0.8092,4524.0721,1791.4107,430,07:00,07:10,754.0120166666667,298.56845,2732.6614000000004
44,07:20:00,0.7972,4545.8867,2085.4865,440,07:10,07:20,757.6477833333333,347.5810833333333,2460.4002
45,07:30:00,0.7644,4523.2418,2381.2611,450,07:20,07:30,753.8736333333333,396.87685,2141.9806999999996
46,07:40:00,0.6899,4383.3566,2683.1752,460,07:30,07:40,730.5594333333333,447.1958666666667,1700.1814
47,07:50:00,0.86,4910.4599,2986.3552,470,07:40,07:50,818.4099833333332,497.72586666666666,1924.1046999999999
48,08:00:00,1.1617,5799.7327,3289.204,480,07:50,08:00,966.6221166666666,548.2006666666666,2510.5286999999994
49,08:10:00,1.1683,5884.826,3593.3613,490,08:00,08:10,980.8043333333333,598.89355,2291.4647
50,08:20:00,1.0956,5748.0713,3890.7332,500,08:10,08:20,958.0118833333332,648.4555333333333,1857.3380999999995
51,08:30:00,1.0849,5769.0581,4181.3417,510,08:20,08:30,961.5096833333333,696.8902833333333,1587.7164000000002
52,08:40:00,1.061,5754.2105,4471.7657,520,08:30,08:40,959.0350833333333,745.2942833333333,1282.4448000000002
53,08:50:00,1.043,5824.1807,4752.8272,530,08:40,08:50,970.6967833333333,792.1378666666666,1071.3535000000002
54,09:00:00,1.036,5954.2601,5021.9074,540,08:50,09:00,992.3766833333334,836.9845666666666,932.3527000000004
55,09:10:00,1.0147,5958.9696,5285.4126,550,09:00,09:10,993.1616,880.9020999999999,673.5570000000007
56,09:20:00,0.9922,5929.5554,5543.1742,560,09:10,09:20,988.2592333333333,923.8623666666667,386.3811999999998
57,09:30:00,0.97,5923.7828,5788.4093,570,09:20,09:30,987.2971333333332,964.7348833333333,135.3734999999997
58,09:40:00,0.9422,5907.586,6012.1304,580,09:30,09:40,984.5976666666667,1002.0217333333333,-104.54439999999977
59,09:50:00,0.9569,5899.1262,6216.1528,590,09:40,09:50,983.1877,1036.0254666666665,-317.02660000000014
60,10:00:00,0.9977,5902.2196,6409.5941,600,09:50,10:00,983.7032666666667,1068.2656833333333,-507.3744999999999
61,10:10,0.9919,5897.4793,6599.3808,610,10:00,10:10,982.9132166666666,1099.8968,-701.9014999999999
62,10:20,0.9588,5886.7568,6766.7204,620,10:10,10:20,981.1261333333333,1127.7867333333334,-879.9636
63,10:30,0.9549,5873.4708,6914.5923,630,10:20,10:30,978.9118,1152.43205,-1041.1215000000002
64,10:40,0.9839,5858.0308,7064.2053,640,10:30,10:40,976.3384666666667,1177.36755,-1206.1744999999992
65,10:50,0.799,5844.9948,7197.4315,650,10:40,10:50,974.1658,1199.5719166666665,-1352.4366999999993
66,11:00,0.5025,5839.0587,7303.1142,660,10:50,11:00,973.1764499999999,1217.1857,-1464.0555000000004
67,11:10,0.4662,5838.7103,7387.6848,670,11:00,11:10,973.1183833333332,1231.2808,-1548.9745000000003
68,11:20,0.5007,5823.4378,7459.227,680,11:10,11:20,970.5729666666666,1243.2044999999998,-1635.7892000000002
69,11:30,0.4827,5814.7932,7520.7191,690,11:20,11:30,969.1322,1253.4531833333333,-1705.9259000000002
70,11:40,0.4785,5832.3951,7568.2039,700,11:30,11:40,972.06585,1261.3673166666667,-1735.8088000000007
71,11:50,0.4662,5712.901,7592.1539,710,11:40,11:50,952.1501666666666,1265.3589833333333,-1879.2529000000004
72,12:00,0.4432,5519.4607,7601.0433,720,11:50,12:00,919.9101166666666,1266.84055,-2081.5826000000006
73,12:10,0.4411,5494.7907,7612.316,730,12:00,12:10,915.7984499999999,1268.7193333333332,-2117.5253000000002
74,12:20,0.4551,5514.4524,7602.6524,740,12:10,12:20,919.0754,1267.1087333333332,-2088.2
75,12:30,0.4463,5485.829,7554.1872,750,12:20,12:30,914.3048333333332,1259.0312,-2068.3582000000006
76,12:40,0.4113,5462.3628,7472.7384,760,12:30,12:40,910.3937999999999,1245.4564,-2010.3756000000003
77,12:50,0.5682,5566.1066,7393.4172,770,12:40,12:50,927.6844333333333,1232.2361999999998,-1827.3105999999998
78,13:00,0.8279,5725.7548,7312.7979,780,12:50,13:00,954.2924666666665,1218.79965,-1587.0430999999999
79,13:10,0.8636,5739.4957,7194.541,790,13:00,13:10,956.5826166666667,1199.0901666666666,-1455.0452999999998
80,13:20,0.8416,5714.6836,7053.1371,800,13:10,13:20,952.4472666666667,1175.5228499999998,-1338.4534999999996
81,13:30,0.8618,5717.8505,6910.4064,810,13:20,13:30,952.9750833333333,1151.7343999999998,-1192.5559000000003
82,13:40,0.8623,5708.2486,6772.4075,820,13:30,13:40,951.3747666666666,1128.7345833333334,-1064.1589000000004
83,13:50,0.9026,5696.9182,6607.36,830,13:40,13:50,949.4863666666666,1101.2266666666665,-910.4417999999996
84,14:00,0.9754,5692.2983,6412.5085,840,13:50,14:00,948.7163833333334,1068.7514166666665,-720.2101999999995
85,14:10,1.0002,5687.1291,6214.0158,850,14:00,14:10,947.8548499999999,1035.6693,-526.8867
86,14:20,0.9978,5678.962,6000.7112,860,14:10,14:20,946.4936666666667,1000.1185333333333,-321.7491999999993
87,14:30,1.0271,5669.4508,5766.9816,870,14:20,14:30,944.9084666666665,961.1636,-97.53080000000045
88,14:40,1.0906,5664.1948,5521.5066,880,14:30,14:40,944.0324666666667,920.2511,142.6882000000005
89,14:50,0.9376,5672.7011,5268.781,890,14:40,14:50,945.4501833333334,878.1301666666666,403.9201000000003
90,15:00,0.6694,5682.2544,5009.7152,900,14:50,15:00,947.0423999999999,834.9525333333332,672.5392000000002
91,15:10,0.66,5669.0195,4743.4484,910,15:00,15:10,944.8365833333334,790.5747333333334,925.5711000000001
92,15:20,0.7217,5656.3651,4471.224,920,15:10,15:20,942.7275166666666,745.204,1185.1410999999998
93,15:30,0.7308,5657.0867,4188.2025,930,15:20,15:30,942.8477833333333,698.03375,1468.8841999999995
94,15:40,0.7534,5662.6008,3889.3931,940,15:30,15:40,943.7668,648.2321833333333,1773.2077000000004
95,15:50,0.7823,5669.2596,3594.5946,950,15:40,15:50,944.8766,599.0990999999999,2074.6650000000004
96,16:00,0.8055,5673.4767,3303.8878,960,15:50,16:00,945.57945,550.6479666666667,2369.5889
97,16:10,0.8271,5671.0146,2998.4247,970,16:00,16:10,945.1691000000001,499.73744999999997,2672.5899000000004
98,16:20,0.8519,5661.5926,2687.4131,980,16:10,16:20,943.5987666666666,447.90218333333337,2974.1794999999997
99,16:30,0.8791,5665.8922,2383.1779,990,16:20,16:30,944.3153666666667,397.1963166666667,3282.7143
100,16:40,0.9024,5689.0372,2089.1246,1000,16:30,16:40,948.1728666666666,348.18743333333333,3599.9125999999997
101,16:50,0.9163,5603.6614,1791.0829,1010,16:40,16:50,933.9435666666666,298.5138166666667,3812.5784999999996
102,17:00,0.9264,5466.7124,1501.7283,1020,16:50,17:00,911.1187333333334,250.28805,3964.9841000000006
103,17:10,0.9462,5467.3939,1255.1723,1030,17:00,17:10,911.2323166666666,209.19538333333333,4212.2216
104,17:20,0.9742,5464.727,1036.3323,1040,17:10,17:20,910.7878333333333,172.72205,4428.3947
105,17:30,0.9862,5492.4458,836.7775,1050,17:20,17:30,915.4076333333334,139.46291666666667,4655.6683
106,17:40,0.976,5621.7308,665.2313,1060,17:30,17:40,936.9551333333334,110.87188333333333,4956.4995
107,17:50,1.0742,5091.2126,516.6758,1070,17:40,17:50,848.5354333333332,86.11263333333332,4574.5368
108,18:00,1.2313,4208.5688,386.6731,1080,17:50,18:00,701.4281333333333,64.44551666666666,3821.8957
109,18:10,1.2561,4122.7611,275.7933,1090,18:00,18:10,687.1268499999999,45.96554999999999,3846.9678
110,18:20,1.2447,4255.9358,182.9526,1100,18:10,18:20,709.3226333333333,30.492099999999997,4072.9832
111,18:30,1.2545,4225.9524,108.3414,1110,18:20,18:30,704.3254,18.0569,4117.611
112,18:40,1.2522,4233.3384,54.3121,1120,18:30,18:40,705.5563999999999,9.052016666666667,4179.0262999999995
113,18:50,1.2881,4246.4625,18.6569,1130,18:40,18:50,707.7437499999999,3.1094833333333334,4227.8056
114,19:00,1.3466,4239.1795,0.2753,1140,18:50,19:00,706.5299166666666,0.04588333333333333,4238.9042
115,19:10,1.3523,4244.6684,0.2296,1150,19:00,19:10,707.4447333333333,0.038266666666666664,4244.4388
116,19:20,1.3445,4251.9187,0.6007,1160,19:10,19:20,708.6531166666666,0.10011666666666666,4251.318
117,19:30,1.3483,4256.6813,0.0,1170,19:20,19:30,709.4468833333333,0.0,4256.6813
118,19:40,1.349,4267.3947,0.0,1180,19:30,19:40,711.23245,0.0,4267.3947
119,19:50,1.3473,4269.975,0.0,1190,19:40,19:50,711.6625,0.0,4269.975
120,20:00,1.3482,4268.6702,0.0,1200,19:50,20:00,711.4450333333332,0.0,4268.6702
121,20:10,1.3513,4282.2245,0.0,1210,20:00,20:10,713.7040833333333,0.0,4282.2245
122,20:20,1.34,4291.7049,0.0,1220,20:10,20:20,715.28415,0.0,4291.7049
123,20:30,1.3489,4291.3611,0.0,1230,20:20,20:30,715.22685,0.0,4291.3611
124,20:40,1.3952,4293.9182,0.0,1240,20:30,20:40,715.6530333333333,0.0,4293.9182
125,20:50,1.2226,4295.2135,0.0,1250,20:40,20:50,715.8689166666666,0.0,4295.2135
126,21:00,0.9332,4302.0307,0.0,1260,20:50,21:00,717.0051166666667,0.0,4302.0307
127,21:10,0.9068,4320.9618,0.0,1270,21:00,21:10,720.1603,0.0,4320.9618
128,21:20,0.9371,4302.3292,0.0,1280,21:10,21:20,717.0548666666666,0.0,4302.3292
129,21:30,0.9371,4322.6758,0.0,1290,21:20,21:30,720.4459666666667,0.0,4322.6758
130,21:40,0.9871,4428.8083,0.0,1300,21:30,21:40,738.1347166666666,0.0,4428.8083
131,21:50,0.7764,4030.1614,0.0,1310,21:40,21:50,671.6935666666666,0.0,4030.1614
132,22:00,0.4209,3362.7419,0.0,1320,21:50,22:00,560.4569833333333,0.0,3362.7419
133,22:10,0.3859,3309.3934,0.0,1330,22:00,22:10,551.5655666666667,0.0,3309.3934
134,22:20,0.4368,3412.9563,0.0,1340,22:10,22:20,568.8260499999999,0.0,3412.9563
135,22:30,0.4198,3381.9313,0.0,1350,22:20,22:30,563.6552166666667,0.0,3381.9313
136,22:40,0.4186,3386.5592,0.0,1360,22:30,22:40,564.4265333333333,0.0,3386.5592
137,22:50,0.4241,3400.4846,0.0,1370,22:40,22:50,566.7474333333332,0.0,3400.4846
138,23:00,0.4237,3399.2426,0.0,1380,22:50,23:00,566.5404333333333,0.0,3399.2426
139,23:10,0.4248,3406.9809,0.0,1390,23:00,23:10,567.83015,0.0,3406.9809
140,23:20,0.424,3416.1518,0.0,1400,23:10,23:20,569.3586333333333,0.0,3416.1518
141,23:30,0.422,3421.9811,0.0,1410,23:20,23:30,570.3301833333333,0.0,3421.9811
142,23:40,0.424,3429.6923,0.0,1420,23:30,23:40,571.6153833333333,0.0,3429.6923
143,23:50,0.4271,3439.061,0.0,1430,23:40,23:50,573.1768333333333,0.0,3439.061
144,0:00+1,0.4276,3444.7259,0.0,1440,23:50,0:00+1,574.1209833333332,0.0,3444.7259
